"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Trump's bddy Putin apparently has become upset with doctors fighting coronavirus.  3 Russian doctors with COVID-19 https://t.co/gco96q190r",FALSE,0,NA,2020-05-05 23:57:51,TRUE,NA,"1257821842540281858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RuserSherry",0,FALSE,FALSE,NA,NA
"2","See The Graph That Proves Covid-19 Is A Giant Hoax https://t.co/JHMXdLFmvC",FALSE,0,NA,2020-05-05 23:57:50,FALSE,NA,"1257821840795295746",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TME291310",0,FALSE,FALSE,NA,NA
"3","Patriots worth of watching, we have been betrayed by Deep State and Bill Gates on Covid-19

1,000,000 People Fighti https://t.co/s5CmUelVqm",FALSE,0,NA,2020-05-05 23:57:50,TRUE,NA,"1257821839742697475",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rj47972891",0,FALSE,FALSE,NA,NA
"4","Today is #GivingTuesdayNow! 
Survivors and their families have been put in increased danger as a result of COVID-19 https://t.co/GxvNa06d4l",FALSE,0,NA,2020-05-05 23:57:50,TRUE,NA,"1257821839524540419",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HopeAllianceTX",0,FALSE,FALSE,NA,NA
"5","Virs bu lkeden iki yilda falan gider o da kendi isteiyle #Covid_19 https://t.co/pkM80437YD",FALSE,0,NA,2020-05-05 23:57:50,FALSE,NA,"1257821839113498625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kubibryant24",0,FALSE,FALSE,NA,NA
"6","@elonmusk once the COVID-19 is gone is the next pandemic X  A-12 or is it a baby name? https://t.co/tfqLhHss7G",FALSE,0,"elonmusk",2020-05-05 23:57:50,FALSE,NA,"1257821839021105152","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OMate81",0,FALSE,FALSE,NA,NA
"7","@IngrahamAngle Yet no talk abt. Cuomo mandating nursing homes , to accept Covid 19 patients.. MSM is winning the  propaganda battle in N.Y.",FALSE,0,"IngrahamAngle",2020-05-05 23:57:49,FALSE,"1257819247507628040","1257821834596188160","50769180","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rooster9211",0,FALSE,FALSE,NA,NA
"8","@landyserafimm @veramagalhaes Qual a medida de Bolsonaro para minimizar os efeitos da COVID-19 vc achou mais eficaz at agora?",FALSE,0,"landyserafimm",2020-05-05 23:57:49,FALSE,"1257820195248394240","1257821834323660800","1245856266284564487","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MutanteBrasil",0,FALSE,FALSE,NA,NA
"9","Diquinhas do Tio Caio, rapaziada!

Como voc deve estar sabendo, agora  OBRIGATRIO o uso de mscaras no Estado de https://t.co/2SJYME3tfL",FALSE,0,NA,2020-05-05 23:57:49,TRUE,NA,"1257821834214547456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","caiocaiadosbc",0,FALSE,FALSE,NA,NA
"10","+105 casos notificados de covid-19 em Rondnia nas ltimas 24h, vocs s vo respeitar o isolamento quando algum d https://t.co/PYGWPy2vX6",FALSE,0,NA,2020-05-05 23:57:48,TRUE,NA,"1257821833233158144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gameoverbea",0,FALSE,FALSE,NA,NA
